parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sdE[11],0.218,0.043,0.142,0.298,0.001,0.0,4991.0,2508.0,1.0
sdE[12],0.175,0.037,0.112,0.246,0.001,0.0,5531.0,3258.0,1.0
sdE[13],0.225,0.042,0.156,0.31,0.001,0.0,5446.0,3319.0,1.0
sdE[14],0.108,0.028,0.064,0.158,0.001,0.0,3681.0,2443.0,1.0
sdE[15],0.186,0.039,0.117,0.257,0.001,0.0,4310.0,2661.0,1.0
sdE[16],0.027,0.007,0.016,0.04,0.0,0.0,3431.0,2381.0,1.0
sdE[17],0.112,0.028,0.069,0.168,0.0,0.0,4085.0,2922.0,1.0
sdE[18],0.245,0.044,0.162,0.322,0.001,0.0,5418.0,2916.0,1.0
sdE[19],0.097,0.026,0.055,0.143,0.001,0.0,2947.0,2218.0,1.0
sdE[20],0.261,0.046,0.182,0.346,0.001,0.001,4796.0,3006.0,1.0
sdE[21],0.347,0.049,0.255,0.435,0.001,0.001,5044.0,2794.0,1.0
sdE[22],0.183,0.04,0.116,0.258,0.001,0.0,5287.0,2716.0,1.0
sdE[23],0.29,0.048,0.21,0.38,0.001,0.0,5693.0,3088.0,1.0
sdE[24],0.26,0.046,0.181,0.348,0.001,0.0,5496.0,3015.0,1.0
sdE[25],0.11,0.028,0.065,0.162,0.0,0.0,4425.0,2959.0,1.0
sdE[26],0.167,0.037,0.104,0.239,0.001,0.0,4850.0,3209.0,1.0
sdE[27],0.102,0.028,0.06,0.155,0.001,0.0,3105.0,1980.0,1.0
sdE[28],0.148,0.035,0.094,0.216,0.001,0.0,4054.0,2368.0,1.0
sdE[29],0.244,0.045,0.167,0.33,0.001,0.001,4839.0,2819.0,1.0
sdE[30],0.185,0.042,0.113,0.262,0.001,0.001,3710.0,2836.0,1.0
sdE[31],0.153,0.035,0.096,0.221,0.001,0.0,3814.0,2620.0,1.0
sdE[32],0.083,0.023,0.05,0.128,0.0,0.0,3553.0,2889.0,1.0
sdE[33],0.263,0.049,0.178,0.356,0.001,0.001,5526.0,2977.0,1.0
sdE[34],0.127,0.032,0.077,0.189,0.001,0.0,4007.0,2509.0,1.0
